"STATION","NAME","DATE","TMAX","TMIN","TOBS"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-08-03","97","68",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-08-04","99","68",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-08-05","95","71",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-08-06","96","75",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-08-07","97","77",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-08-08","96","77",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-08-09","97","74",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-08-10","97","77",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-08-11","98","78",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-08-12","99","78",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-08-13","100","77",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-08-14","100","76",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-08-15","103","77",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-08-16","102","77",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-08-17","101","75",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-08-18","98","74",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-08-19","100","69",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-08-20","101","68",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-08-21","99","65",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-08-22","100","71",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-08-23","87","67",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-08-24","93","65",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-08-25","95","69",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-08-26","97","69",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-08-27","96","72",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-08-28","100","73",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-08-29","102","79",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-08-30","101","78",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-08-31","100","78",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-09-01","100","81","82"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-09-02","98","81",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-09-03","93","80",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-09-04","96","74",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-09-05","82","72",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-09-06","91","72",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-09-07","92","70",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-09-08","92","69",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-09-09","91","75",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-09-10","86","58",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-09-11","72","58",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-09-12","85","63",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-09-13","91","66",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-09-14","92","69",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-09-15","91","74",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-09-16","91","72",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-09-17","90","71",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-09-18","88","70",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-09-19","87","69",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-09-20","83","64",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-09-21","84","62",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-09-22","72","68",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-09-23","80","68",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-09-24","82","62",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-09-25","84","59",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-09-26","88","58",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-09-27","90","68",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-09-28","92","76",
